Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
424,Rodrygo,br BRA,"MF,FW",Real Madrid,25-013,2001,17,6,634,7.0,1,3,4,1,0,0,3,0,0.14,0.43,0.57,0.14,0.57,Matches
425,Leo Román,es ESP,GK,Mallorca,25-200,2000,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Miguel Román,es ESP,MF,Celta Vigo,23-027,2002,12,8,759,8.4,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
427,Carlos Romero,es ESP,DF,Espanyol,24-085,2001,19,19,1677,18.6,4,2,6,4,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches
428,Isaac Romero,es ESP,FW,Sevilla,25-249,2000,15,11,870,9.7,3,0,3,3,0,1,4,1,0.31,0.00,0.31,0.31,0.31,Matches
429,Iván Romero,es ESP,"FW,MF",Levante,24-287,2001,16,15,1220,13.6,4,1,5,4,0,0,2,0,0.30,0.07,0.37,0.30,0.37,Matches
430,Salomón Rondón,ve VEN,FW,Oviedo,36-128,1989,16,13,1032,11.5,2,0,2,2,0,1,2,0,0.17,0.00,0.17,0.17,0.17,Matches
431,Valentin Rosier,fr FRA,"MF,DF",Osasuna,29-156,1996,13,12,948,10.5,0,1,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,Matches
432,Rubén,es ESP,DF,Espanyol,24-352,2001,11,3,363,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
433,Antonio Rüdiger,de GER,DF,Real Madrid,32-325,1993,7,6,605,6.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
434,Javier Rueda Garcia,es ESP,MF,Celta Vigo,23-259,2002,14,7,725,8.1,2,3,5,2,0,0,3,0,0.25,0.37,0.62,0.25,0.62,Matches
435,Matteo Ruggeri,it ITA,DF,Atlético Madrid,23-195,2002,14,10,864,9.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
436,Aitor Ruibal,es ESP,"MF,DF",Real Betis,29-306,1996,16,10,943,10.5,4,1,5,4,0,0,2,0,0.38,0.10,0.48,0.38,0.48,Matches
437,Abel Ruiz,es ESP,FW,Girona,25-359,2000,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
438,Mathew Ryan,au AUS,GK,Levante,33-289,1992,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
439,Umar Sadiq,ng NGA,FW,Valencia,28-354,1997,2,0,56,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
440,Umar Sadiq,ng NGA,FW,Real Sociedad,28-354,1997,5,2,153,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
441,Jan Salas,es ESP,MF,Mallorca,20-165,2005,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
442,Kike Salas,es ESP,DF,Sevilla,23-274,2002,9,7,673,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
443,José Salinas,es ESP,DF,Espanyol,25-114,2000,8,1,141,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
444,Oihan Sancet,es ESP,MF,Athletic Club,25-272,2000,15,13,977,10.9,1,0,1,0,1,1,2,1,0.09,0.00,0.09,0.00,0.00,Matches
445,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,37-034,1988,14,6,736,8.2,2,1,3,1,1,1,1,0,0.24,0.12,0.37,0.12,0.24,Matches
446,Antonio Sánchez,es ESP,MF,Mallorca,29-021,1997,16,6,641,7.1,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
447,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,22-160,2003,16,13,1120,12.4,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
448,Borja Sánchez Laborde,es ESP,MF,Oviedo,29-330,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
449,Manu Sánchez,es ESP,DF,Levante,25-151,2000,16,16,1391,15.5,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches
450,Selton Sánchez,es ESP,MF,Athletic Club,18-336,2007,4,1,131,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
